131,FEMA,FEMA-0652,3015-17 South Saratoga Street,3015 S SARATOGA ST,41037281,2,3/28/2012,3/29/2012,"(29.933764322999998, -90.091588829000003)"
132,FEMA,FEMA-0654,2116-18 Harmony Street,2116 HARMONY ST,41037676,2,1/19/2012,1/20/2012,"(29.933862949000101, -90.092188758999995)"
133,FEMA,FEMA-0659,2316 Seminole Lane,2316 SEMINOLE PL,41039426,1,3/27/2012,3/27/2012,"(29.946778210000002, -90.092267815)"
134,FEMA,FEMA-0662,2322-24 Seminole Lane,2322 SEMINOLE PL,41039430,2,3/28/2012,3/28/2012,"(29.946692608999999, -90.092399134999894)"
135,FEMA,FEMA-0667,3620-22 Third Street,3620 3RD ST,41040188,2,6/4/2012,6/5/2012,"(29.948529647000001, -90.096818669000001)"
136,FEMA,FEMA-0669,3611 Fourth Street,3611 4TH ST,41040275,1,6/2/2012,6/4/2012,"(29.947978672000001, -90.097323955999997)"
137,FEMA,FEMA-0670,3634 Fourth Street,3634 4TH ST,41040285,1,3/26/2012,3/26/2012,"(29.948199384000102, -90.097908031000003)"
138,FEMA,FEMA-0684,2232-34 Louisiana Avenue,2232 LOUISIANA AVE,41053330,2,2/3/2012,2/7/2012,"(29.934317397000001, -90.094759779)"
139,FEMA,FEMA-0685,2608 Robert Street,2608 ROBERT ST,41057065,1,3/31/2012,4/3/2012,"(29.938138571, -90.108479384999995)"
140,FEMA,FEMA-0697,3009 Bienville Avenue,3009 BIENVILLE AVE,41020250,1,5/22/2012,5/25/2012,"(29.969779647000099, -90.089063521999904)"
141,FEMA,FEMA-0704,2619 Washington Avenue,2619 WASHINGTON AVE,41039537,1,2/24/2012,2/25/2012,"(29.939786466000001, -90.0923842669999)"
142,FEMA,FEMA-0706,3531 Washington Avenue,3531 WASHINGTON AVE,41039606,1,6/28/2012,6/30/2012,"(29.947275733000001, -90.097775186000007)"
143,FEMA,FEMA-0718,1837-39 Pauger Street,1837 PAUGER ST,41060372,2,3/30/2012,4/2/2012,"(29.969154248000098, -90.060242467999998)"
144,FEMA,FEMA-0719,2424-26 Pauger Street,2424 PAUGER ST,41060419,2,3/27/2012,3/28/2012,"(29.975015563000099, -90.061192976000001)"
145,FEMA,FEMA-0721,1709 Piety Street,1709 PIETY ST,41061111,1,6/14/2012,6/15/2012,"(29.973368616000101, -90.039469539999999)"
146,FEMA,FEMA-0726,1807 Touro Street,1807 TOURO ST,41062642,1,3/26/2012,3/27/2012,"(29.975708054999998, -90.059751110999997)"
